Model,Accuracy,Precision,Recall,F1 Score,ROC AUC
Logistic Regression,0.825794894760412,0.8269794721407625,0.7996219281663516,0.8130706391158097,0.9071938221453565
Random Forest,0.8508732646663681,0.8106255355612683,0.8941398865784499,0.8503370786516854,0.9181530788722198
